d_0074 cryptosporidiosis
d_00845 difficile
d_0091 presumed
d_0270 listeriosis
d_0340 sore
d_0340 throat
d_03844 serratia
d_0400 gas
d_04104 enterococcus
d_0412 pneumococcus
d_0413 bacillus
d_0416 mirabilis
d_0416 morganii
d_0416 proteus
d_04182 bacteroides
d_04182 fragilis
d_04183 perfringens
d_04186 helicobacter
d_04186 pylori
d_042 hiv
d_0529 varicella
d_0543 meningoencephalitis
d_075 mononucleosis
d_07810 warts
d_07811 acuminatum
d_07811 condyloma
d_08881 lyme
d_08882 babesiosis
d_0940 dorsalis
d_0949 neurosyphilis
d_1103 groin
d_1103 perianal
d_1122 urogenital
d_1123 nails
d_11284 candidal
d_11599 histoplasmosis
d_1177 mucormycosis
d_1231 cysticercosis
d_1307 toxoplasmosis
d_1330 scabies
d_135 sarcoidosis
d_138 poliomyelitis
d_1481 pyriform
d_1510 cardia
d_1512 antrum
d_1531 transverse
d_1532 descending
d_1533 sigmoid
d_1534 cecum
d_1536 ascending
d_1551 intrahepatic
d_1562 ampulla
d_1562 vater
d_1572 tail
d_1610 glottis
d_1611 supraglottis
d_1744 quadrant
d_1820 isthmus
d_1910 cerebrum
d_1910 lobes
d_1912 temporal
d_1913 parietal
d_1914 occipital
d_1963 axilla
d_1966 intrapelvic
d_20030 marginal
d_20030 zone
d_20080 named
d_20210 fungoides
d_20210 mycosis
d_20240 leukemic
d_20260 mast
d_20260 tumors
d_20972 neuroendocrine
d_2112 ileum
d_2112 jejunum
d_2116 langerhans
d_2181 intramural
d_2251 nerves
d_2271 parathyroid
d_2352 intestines
d_23871 thrombocythemia
d_23875 myelodysplastic
d_23876 metaplasia
d_23879 hematopoietic
d_2397 endocrine
d_2442 iodine
d_2452 lymphocytic
d_2452 thyroiditis
d_2515 gastrin
d_2518 pancreatic
d_2521 hypoparathyroidism
d_2530 acromegaly
d_2532 panhypopituitarism
d_25510 hyperaldosteronism
d_25541 glucocorticoid
d_2564 ovaries
d_2572 testicular
d_2594 dwarfism
